Movie Title,Director,Main Actor,Genre
Dead Poets Society,Peter Weir,Robin Williams,Drama
A Quiet Place,John Krasinski,Emily Blunt,Horror
Citizen Kane,Orson Welles,Orson Welles,Drama
1984,Michael Radford,John Hurt,Drama
Lucy,Luc Besson,Scarlett Johansson,Action
The Great Dictator,Charles Chaplin,Charles Chaplin,Comedy
Split,M. Night Shyamalan,James McAvoy,Horror
Scarface,Brian De Palma,Al Pacino,Crime
The Pianist,Roman Polanski,Adrien Brody,Biography
Gravity,Alfonso Cuarón,Sandra Bullock,Drama
Chicuarotes,Gael García Bernal,Benny Emmanuel,Crime
The Oppenheim Family,Grigoriy Roshal,Vladimir Balashov,Drama
Seven Samurai,Akira Kurosawa,Toshirô Mifune,Action
Goodfellas,Martin Scorsese,Robert De Niro,Biography
Memento,Christopher Nolan,Guy Pearce,Mystery
Batman Begins,Christopher Nolan,Christian Bale,Action
Tenet,Christopher Nolan,John David Washington,Action
The Prestige,Christopher Nolan,Christian Bale,Drama
The Dark Knight Rises,Christopher Nolan,Christian Bale,Action
Pulp Fiction,Quentin Tarantino,John Travolta,Crime
Fight Club,David Fincher,Brad Pitt,Drama
Se7en,David Fincher,Morgan Freeman,Crime
Dune,Denis Villeneuve,Timothée Chalamet,Action
Spirited Away,Hayao Miyazaki,Daveigh Chase,Animation
Gladiator,Ridley Scott,Russell Crowe,Action
Leon,N/A,Tom Juddy,Animation
Whiplash,Damien Chazelle,Miles Teller,Drama
Midnight in Paris,Woody Allen,Owen Wilson,Comedy
Inglorious Basterds: Stolz der Nation,Eli Roth,Daniel Brühl,Short
Oldboy,Park Chan-wook,Choi Min-sik,Action
Avengers: Endgame,Anthony Russo,Robert Downey Jr.,Action
Your Name,Megumi Shiraishi,N/A,Short
Requiem for a Dream,Darren Aronofsky,Ellen Burstyn,Drama
Eternal Sunshine,Jean-Francois Huertas,Bill Weeden,Short
2001: A Space Odyssey,Stanley Kubrick,Keir Dullea,Adventure
Amelie,Aurore Damant,Marie Carrour,Short
Up,Pete Docter, Edward Asner,Animation
Tenet,Christopher Nolan,John David Washington,Action
Jojo Rabbit,Taika Waititi,Roman Griffin Davis,Comedy
Soul,Pete Docter,Jamie Foxx,Animation
Tenet,Christopher Nolan,John David Washington,Action
Soul,Pete Docter,Jamie Foxx,Animation
Her,Spike Jonze,Joaquin Phoenix,Drama
Her,Spike Jonze,Joaquin Phoenix,Drama
Shrek,Andrew Adamson,Mike Myers,Animation
Shrek 2,Andrew Adamson,Mike Myers,Animation
The Incredibles,Brad Bird,Craig T. Nelson,Animation
Black Clover,N/A,Dallas Reid,Animation
Whiplash,Damien Chazelle,Miles Teller,Drama
Transformers,Michael Bay,Shia LaBeouf,Action
The Road,John Hillcoat,Viggo Mortensen,Drama
Supercool,Teppo Airaksinen,Jake Short,Action
Ted 2,Seth MacFarlane,Mark Wahlberg,Comedy
Pokémon: Detective Pikachu,Rob Letterman,Ryan Reynolds,Action
Godzilla: King of the Monsters,Michael Dougherty,Kyle Chandler,Action
Titanic,James Cameron,Leonardo DiCaprio,Drama
Avatar,James Cameron,Sam Worthington,Action
The Usual Suspects,Bryan Singer,Kevin Spacey,Crime
Rambo,Sylvester Stallone,Sylvester Stallone,Action
Rocky,John G. Avildsen,Sylvester Stallone,Drama
Shreck,Carl Denham,William Lantry,Horror
Inception,Christopher Nolan,Leonardo DiCaprio,Action
The Dark Knight,Christopher Nolan,Christian Bale,Action
Memento,Christopher Nolan,Guy Pearce,Mystery
